Question,Answer,Class
How can I stop a cheque payment,"To make a Stop Payment request on an issued Cheque, kindly follow the steps mentioned below: Log in to your NetBanking account Click on the Stop Payment of Cheque option available under Request menu on the left hand side of the web page Select the Account Number (if more than 1 account) Enter first/Start cheque number to the last/End cheque number, with a reason for stopping the payment. Click on Continue. On the next web page, you can verify and click on Confirm tab to confirm the stop payment request. To make a stop payment request on a single cheque, enter the same number in both the fields provided. Stop payment of cheques through NetBanking is free of charge. You may obtain the cheque series from PhoneBanking and then use NetBanking to stop the cheques. Alternatively, you could use PhoneBanking or the branch to make a Stop Payment request for a cheque. Read more about fees and charges applicable to stop cheques here. These charges attract a Service Tax and an Educational Cess as applicable in terms with the current Finance Bill.",accounts
Can a Company ID card be accepted as a Photo ID document ,"No, a Company ID cannot be accepted as a Photo ID document. A government issued photo ID card is mandatory.",accounts
What is the procedure to add/modify or delete a nominee for all my accounts and deposits,"To add/modify or delete a nominee you will need to fill the nomination form and submit it to your nearest branch. The branch will assist you after the form has been submitted by you.For more details, Contact Us",accounts
How long will it take to update a change of address,"Your mailing address will be updated within 7 working days once the application, with any supporting documents, is received and found to be in order. The change in address will also be confirmed through system generated mailers sent to the old as well as the new addresses. If you do not receive any update after the stipulated time mentioned above, we request you to Contact Us with the following details in order to enable us to assist you further: The date when you submitted your request The complete Branch address where the request was submitted. Click here to see details of all our bank branches The name of the executive and complete address of the executive’s source branch, if the form is handed over to an executive",accounts
Can I use my existing Salary Account if I have changed employers ,"Yes, In case an arrangement exists, we request you to visit the nearest branch along with a letter or an e-mail received from the official Corporate email ID. The letter / e-mail should have your complete name and account number and state that you have joined the corporate.",accounts
How do I know my beneficiary's details for a cheque issued in my name,"To know your beneficiary's details for a cheque issued by you / issuer name for a cheque credited in your account, please contact any of our bank branches. To download a Service Brochure, click here For more details, Contact Us",accounts
From where can I enquire about the status of my request to change the residential address of my HDFC Bank account,"Please revert with the following details for us to look into the matter: Date of submission of request for address change The branch where the request was submitted Your Customer ID or Account number (in case, the same has not been mentioned earlier) Your new address Kindly visit the URL to access information for the complete address and contact details of our Branches as well as our PhoneBanking numbers. The primary benefit of this account is that it enables the account holder to track reimbursements you receive from your company separately.",accounts
From where can I enquire about the status of my request to change the residential address of my HDFC Bank account,"Please revert with the following details for us to look into the matter: Date of submission of request for address change The branch where the request was submitted Your Customer ID or Account number (in case, the same has not been mentioned earlier) Your new address Kindly visit the URL to access information for the complete address and contact details of our Branches as well as our PhoneBanking numbers. The primary benefit of this account is that it enables the account holder to track reimbursements you receive from your company separately.",accounts
How do I know my beneficiary's details for a cheque issued in my name,"To know your beneficiary's details for a cheque issued by you / issuer name for a cheque credited in your account, please contact any of our bank branches. To download a Service Brochure, click here For more details, Contact Us",accounts
Can I use my existing Salary Account if I have changed employers ,"Yes, In case an arrangement exists, we request you to visit the nearest branch along with a letter or an e-mail received from the official Corporate email ID. The letter / e-mail should have your complete name and account number and state that you have joined the corporate.",accounts
Is employment confirmation mandatory for me to open a Regular Salary Account,"Yes, employment confirmation is required to ensure that you are an employee of the company.",accounts
How can I stop a cheque payment,"To make a Stop Payment request on an issued Cheque, kindly follow the steps mentioned below: Log in to your NetBanking account Click on the Stop Payment of Cheque option available under Request menu on the left hand side of the web page Select the Account Number (if more than 1 account) Enter first/Start cheque number to the last/End cheque number, with a reason for stopping the payment. Click on Continue. On the next web page, you can verify and click on Confirm tab to confirm the stop payment request. To make a stop payment request on a single cheque, enter the same number in both the fields provided. Stop payment of cheques through NetBanking is free of charge. You may obtain the cheque series from PhoneBanking and then use NetBanking to stop the cheques. Alternatively, you could use PhoneBanking or the branch to make a Stop Payment request for a cheque. Read more about fees and charges applicable to stop cheques here. These charges attract a Service Tax and an Educational Cess as applicable in terms with the current Finance Bill.",accounts
What are the eligibility criteria for Personal Accident Death Cover,"Eligibility: The following are the broad Terms & Conditions of the captioned cover on salary account and Titanium Royale Debit card Accidental Death resulting from bodily injury due accident only (for Defence: under civilian condition (off duty) ) Accidental Death resulting from bodily injury which directly and independently of all other causes results in Death within twelve (12) months of the event date On the event date, the account holder Is a bonafide employees (aged less than 70 years ) of the organization to whom the specific offer has been extended Is holding a Salary Account under the Corporate Salary Account Program with HDFC Bank and has received salary credit in the month or month prior Should have carried out at least one purchase transaction using the Debit Card, within 6 months prior to the date of loss. In case of Air Accidental Death claim ticket should have been purchased using Debit Card linked to Salary Account Cover provided only to the primary account holder",accounts
What is the procedure to add/modify or delete a nominee for all my accounts and deposits,"To add/modify or delete a nominee you will need to fill the nomination form and submit it to your nearest branch. The branch will assist you after the form has been submitted by you.For more details, Contact Us",accounts
How long will it take to update a change of address,"Your mailing address will be updated within 7 working days once the application, with any supporting documents, is received and found to be in order. The change in address will also be confirmed through system generated mailers sent to the old as well as the new addresses. If you do not receive any update after the stipulated time mentioned above, we request you to Contact Us with the following details in order to enable us to assist you further: The date when you submitted your request The complete Branch address where the request was submitted. Click here to see details of all our bank branches The name of the executive and complete address of the executive’s source branch, if the form is handed over to an executive",accounts
What is the time taken to realize outstation cheques,"The indicative time taken for the realization of out-station cheques is given below: Cheques drawn where HDFC Bank has a branch, credit will be given on receipt of clear funds in: Main metro locations (Mumbai, Chennai, Kolkata, New Delhi): 7 working days Metro centers and state capitals (other than those of North Eastern states and Sikkim): Maximum period of 10 working days. In all other centers where we have branches: maximum period of 14 working days. Cheques drawn on non-branch locations where we have a tie-up with correspondent bank, credit will be given on receipt of clear funds: Within a maximum period of 14 working days Cheques drawn on non-branch locations where we do not have a tie-up with correspondent bank, credit will be given on receipt of clear funds: Within a maximum period of 14 working days For more details on the outstation cheque collection policy, click hereFor other queries, Contact Us",accounts
Can a Company ID card be accepted as a Photo ID document ,"No, a Company ID cannot be accepted as a Photo ID document. A government issued photo ID card is mandatory.",accounts
Can I use my existing Salary Account if I have changed employers ,"Yes, In case an arrangement exists, we request you to visit the nearest branch along with a letter or an e-mail received from the official Corporate email ID. The letter / e-mail should have your complete name and account number and state that you have joined the corporate.",accounts
Can a salary account have a joint applicant,"Yes, parents, spouse, child or sibling can be a joint applicant to an account. The joint applicant will need to submit a valid photo ID and address proof.",accounts
What is the time taken to realize outstation cheques,"The indicative time taken for the realization of out-station cheques is given below: Cheques drawn where HDFC Bank has a branch, credit will be given on receipt of clear funds in: Main metro locations (Mumbai, Chennai, Kolkata, New Delhi): 7 working days Metro centers and state capitals (other than those of North Eastern states and Sikkim): Maximum period of 10 working days. In all other centers where we have branches: maximum period of 14 working days. Cheques drawn on non-branch locations where we have a tie-up with correspondent bank, credit will be given on receipt of clear funds: Within a maximum period of 14 working days Cheques drawn on non-branch locations where we do not have a tie-up with correspondent bank, credit will be given on receipt of clear funds: Within a maximum period of 14 working days For more details on the outstation cheque collection policy, click hereFor other queries, Contact Us",accounts
How long will it take to update a change of address,"Your mailing address will be updated within 7 working days once the application, with any supporting documents, is received and found to be in order. The change in address will also be confirmed through system generated mailers sent to the old as well as the new addresses. If you do not receive any update after the stipulated time mentioned above, we request you to Contact Us with the following details in order to enable us to assist you further: The date when you submitted your request The complete Branch address where the request was submitted. Click here to see details of all our bank branches The name of the executive and complete address of the executive’s source branch, if the form is handed over to an executive",accounts
Is employment confirmation mandatory to open a Premium Salary Account,"Yes, employment confirmation is required to ensure that you are an employee of the company.",accounts
What are the eligibility criteria for Personal Accident Death Cover,"Eligibility: The following are the broad Terms & Conditions of the captioned cover on salary account and Titanium Royale Debit card Accidental Death resulting from bodily injury due accident only (for Defence: under civilian condition (off duty) ) Accidental Death resulting from bodily injury which directly and independently of all other causes results in Death within twelve (12) months of the event date On the event date, the account holder Is a bonafide employees (aged less than 70 years ) of the organization to whom the specific offer has been extended Is holding a Salary Account under the Corporate Salary Account Program with HDFC Bank and has received salary credit in the month or month prior Should have carried out at least one purchase transaction using the Debit Card, within 6 months prior to the date of loss. In case of Air Accidental Death claim ticket should have been purchased using Debit Card linked to Salary Account Cover provided only to the primary account holder",accounts
How can I stop a cheque payment,"To make a Stop Payment request on an issued Cheque, kindly follow the steps mentioned below: Log in to your NetBanking account Click on the Stop Payment of Cheque option available under Request menu on the left hand side of the web page Select the Account Number (if more than 1 account) Enter first/Start cheque number to the last/End cheque number, with a reason for stopping the payment. Click on Continue. On the next web page, you can verify and click on Confirm tab to confirm the stop payment request. To make a stop payment request on a single cheque, enter the same number in both the fields provided. Stop payment of cheques through NetBanking is free of charge. You may obtain the cheque series from PhoneBanking and then use NetBanking to stop the cheques. Alternatively, you could use PhoneBanking or the branch to make a Stop Payment request for a cheque. Read more about fees and charges applicable to stop cheques here. These charges attract a Service Tax and an Educational Cess as applicable in terms with the current Finance Bill.",accounts
Can a Company ID card be accepted as a Photo ID document ,"No, a Company ID cannot be accepted as a Photo ID document. A government issued photo ID card is mandatory.",accounts
How do I know my beneficiary's details for a cheque issued in my name,"To know your beneficiary's details for a cheque issued by you / issuer name for a cheque credited in your account, please contact any of our bank branches. To download a Service Brochure, click here For more details, Contact Us",accounts
From where can I enquire about the status of my request to change the residential address of my HDFC Bank account,"Please revert with the following details for us to look into the matter: Date of submission of request for address change The branch where the request was submitted Your Customer ID or Account number (in case, the same has not been mentioned earlier) Your new address Kindly visit the URL to access information for the complete address and contact details of our Branches as well as our PhoneBanking numbers. The primary benefit of this account is that it enables the account holder to track reimbursements you receive from your company separately.",accounts
What are the modes of accident covered under Personal Accidental Death Cover,Accidental Death resulting from bodily injury due accident only under civilian condition (off duty),accounts
How do I know my beneficiary's details for a cheque issued in my name,"To know your beneficiary's details for a cheque issued by you / issuer name for a cheque credited in your account, please contact any of our bank branches. To download a Service Brochure, click here For more details, Contact Us",accounts
From where can I enquire about the status of my request to change the residential address of my HDFC Bank account,"Please revert with the following details for us to look into the matter: Date of submission of request for address change The branch where the request was submitted Your Customer ID or Account number (in case, the same has not been mentioned earlier) Your new address Kindly visit the URL to access information for the complete address and contact details of our Branches as well as our PhoneBanking numbers. The primary benefit of this account is that it enables the account holder to track reimbursements you receive from your company separately.",accounts
Is employment confirmation mandatory for me to open a Defence Salary Account,"Yes, employment confirmation is required to ensure that you are an employee of the company.",accounts
What are the eligibility criteria for Personal Accident Death Cover,"Eligibility: The following are the broad Terms & Conditions of the captioned cover on salary account and Titanium Royale Debit card Accidental Death resulting from bodily injury due accident only (for Defence: under civilian condition (off duty) ) Accidental Death resulting from bodily injury which directly and independently of all other causes results in Death within twelve (12) months of the event date On the event date, the account holder Is a bonafide employees (aged less than 70 years ) of the organization to whom the specific offer has been extended Is holding a Salary Account under the Corporate Salary Account Program with HDFC Bank and has received salary credit in the month or month prior Should have carried out at least one purchase transaction using the Debit Card, within 6 months prior to the date of loss. In case of Air Accidental Death claim ticket should have been purchased using Debit Card linked to Salary Account Cover provided only to the primary account holder",accounts
What is the procedure to add/modify or delete a nominee for all my accounts and deposits,"To add/modify or delete a nominee you will need to fill the nomination form and submit it to your nearest branch. The branch will assist you after the form has been submitted by you.For more details, Contact Us",accounts
Can a Defence ID card be accepted as a Photo ID document (Defense Salary Account),A Defence ID can be accepted as a Photo ID document.,accounts
How long will it take to update a change of address,"Your mailing address will be updated within 7 working days once the application, with any supporting documents, is received and found to be in order. The change in address will also be confirmed through system generated mailers sent to the old as well as the new addresses. If you do not receive any update after the stipulated time mentioned above, we request you to Contact Us with the following details in order to enable us to assist you further: The date when you submitted your request The complete Branch address where the request was submitted. Click here to see details of all our bank branches The name of the executive and complete address of the executive’s source branch, if the form is handed over to an executive",accounts
What is the time taken to realize outstation cheques,"The indicative time taken for the realization of out-station cheques is given below: Cheques drawn where HDFC Bank has a branch, credit will be given on receipt of clear funds in: Main metro locations (Mumbai, Chennai, Kolkata, New Delhi): 7 working days Metro centers and state capitals (other than those of North Eastern states and Sikkim): Maximum period of 10 working days. In all other centers where we have branches: maximum period of 14 working days. Cheques drawn on non-branch locations where we have a tie-up with correspondent bank, credit will be given on receipt of clear funds: Within a maximum period of 14 working days Cheques drawn on non-branch locations where we do not have a tie-up with correspondent bank, credit will be given on receipt of clear funds: Within a maximum period of 14 working days For more details on the outstation cheque collection policy, click hereFor other queries, Contact Us",accounts
How can I stop a cheque payment,"To make a Stop Payment request on an issued Cheque, kindly follow the steps mentioned below: Log in to your NetBanking account Click on the Stop Payment of Cheque option available under Request menu on the left hand side of the web page Select the Account Number (if more than 1 account) Enter first/Start cheque number to the last/End cheque number, with a reason for stopping the payment. Click on Continue. On the next web page, you can verify and click on Confirm tab to confirm the stop payment request. To make a stop payment request on a single cheque, enter the same number in both the fields provided. Stop payment of cheques through NetBanking is free of charge. You may obtain the cheque series from PhoneBanking and then use NetBanking to stop the cheques. Alternatively, you could use PhoneBanking or the branch to make a Stop Payment request for a cheque. Read more about fees and charges applicable to stop cheques here. These charges attract a Service Tax and an Educational Cess as applicable in terms with the current Finance Bill.",accounts
Can I use my existing Salary Account if I have changed employers ,"Yes, In case an arrangement exists, we request you to visit the nearest branch along with a letter or an e-mail received from the official Corporate email ID. The letter / e-mail should have your complete name and account number and state that you have joined the corporate.",accounts
Can a Company ID card be accepted as a Photo ID document (Basic Savings Bank Deposit Account - Salary),"No, a Company ID cannot be accepted as a Photo ID document. A government issued photo ID card is mandatory.",accounts
Is address proof a mandatory requirement (Basic Savings Bank Deposit Account - Salary),Yes. address proof is mandatory,accounts
How can I stop a cheque payment,"To make a Stop Payment request on an issued Cheque, kindly follow the steps mentioned below: Log in to your NetBanking account Click on the Stop Payment of Cheque option available under Request menu on the left hand side of the web page Select the Account Number (if more than 1 account) Enter first/Start cheque number to the last/End cheque number, with a reason for stopping the payment. Click on Continue. On the next web page, you can verify and click on Confirm tab to confirm the stop payment request. To make a stop payment request on a single cheque, enter the same number in both the fields provided. Stop payment of cheques through NetBanking is free of charge. You may obtain the cheque series from PhoneBanking and then use NetBanking to stop the cheques. Alternatively, you could use PhoneBanking or the branch to make a Stop Payment request for a cheque. Read more about fees and charges applicable to stop cheques here. These charges attract a Service Tax and an Educational Cess as applicable in terms with the current Finance Bill.",accounts
Can I use my existing Basic Savings Bank Deposit Account - Salary if I have changed employers,"Yes, In case an arrangement exists, we request you to visit the nearest branch along with a letter or an e-mail received from the official Corporate email ID. The letter / e-mail should have your complete name and account number and state that you have joined the corporate.",accounts
What is the time taken to realize outstation cheques,"The indicative time taken for the realization of out-station cheques is given below: Cheques drawn where HDFC Bank has a branch, credit will be given on receipt of clear funds in: Main metro locations (Mumbai, Chennai, Kolkata, New Delhi): 7 working days Metro centers and state capitals (other than those of North Eastern states and Sikkim): Maximum period of 10 working days. In all other centers where we have branches: maximum period of 14 working days. Cheques drawn on non-branch locations where we have a tie-up with correspondent bank, credit will be given on receipt of clear funds: Within a maximum period of 14 working days Cheques drawn on non-branch locations where we do not have a tie-up with correspondent bank, credit will be given on receipt of clear funds: Within a maximum period of 14 working days For more details on the outstation cheque collection policy, click hereFor other queries, Contact Us",accounts
Is employment confirmation mandatory for me to open a Basic Savings Bank Deposit Account - Salary,To ensure that you are an employee of the company a confirmation of employment is necessary.,accounts
What is the procedure to add/modify or delete a nominee for all my accounts and deposits,"To add/modify or delete a nominee you will need to fill the nomination form and submit it to your nearest branch. The branch will assist you after the form has been submitted by you.For more details, Contact Us",accounts
How long will it take to update a change of address,"Your mailing address will be updated within 7 working days once the application, with any supporting documents, is received and found to be in order. The change in address will also be confirmed through system generated mailers sent to the old as well as the new addresses. If you do not receive any update after the stipulated time mentioned above, we request you to Contact Us with the following details in order to enable us to assist you further: The date when you submitted your request The complete Branch address where the request was submitted. Click here to see details of all our bank branches The name of the executive and complete address of the executive’s source branch, if the form is handed over to an executive",accounts
How do I know my beneficiary's details for a cheque issued in my name,"To know your beneficiary's details for a cheque issued by you / issuer name for a cheque credited in your account, please contact any of our bank branches. To download a Service Brochure, click here For more details, Contact Us",accounts
From where can I enquire about the status of my request to change the residential address of my HDFC Bank account,"Please revert with the following details for us to look into the matter: Date of submission of request for address change The branch where the request was submitted Your Customer ID or Account number (in case, the same has not been mentioned earlier) Your new address Kindly visit the URL to access information for the complete address and contact details of our Branches as well as our PhoneBanking numbers. The primary benefit of this account is that it enables the account holder to track reimbursements you receive from your company separately.",accounts
How do I know my beneficiary's details for a cheque issued in my name,"To know your beneficiary's details for a cheque issued by you / issuer name for a cheque credited in your account, please contact any of our bank branches. To download a Service Brochure, click here For more details, Contact Us",accounts
From where can I enquire about the status of my request to change the residential address of my HDFC Bank account,"Please revert with the following details for us to look into the matter: Date of submission of request for address change The branch where the request was submitted Your Customer ID or Account number (in case, the same has not been mentioned earlier) Your new address Kindly visit the URL to access information for the complete address and contact details of our Branches as well as our PhoneBanking numbers. The primary benefit of this account is that it enables the account holder to track reimbursements you receive from your company separately.",accounts
What is the procedure to add/modify or delete a nominee for all my accounts and deposits,"To add/modify or delete a nominee you will need to fill the nomination form and submit it to your nearest branch. The branch will assist you after the form has been submitted by you.For more details, Contact Us",accounts
What do I need to do to open a joint account,The Reimbursement Account has to be in the same order as your Salary Savings Account. In case your Salary savings account is a joint account then a separate introduction is not required and you only need to add the name in the (Account Opening Document) AOD.,accounts
Will I be able to access both my accounts at all establishments/ATMs through a single Debit Card,"Your existing Debit Card will be linked to both accounts. Any additional card will be charged at the regular rates. You will be able to select either account to transact at HDFC Bank ATMs. At other VISA/PLUS ATMs (Other Bank’s ATMs) you may or may not have access to both accounts. When such an option is unavailable, you can only access your salary account. If you are a VISA Electron Debit Cardholder you can access only your Salary Account at merchant locations for transactions and not your Reimbursement Account. If you are a Maestro Debit Cardholder may be able to select between your Salary Account and Reimbursement Account at merchant locations.",accounts
Will I earn interest on the Reimbursement Account,The Reimbursement Account is value added benefit given to the salary account holder and hence is a non-interest bearing account.,accounts
Why do I need a Reimbursement Account,A Reimbursement Account enables you to separate your regular monthly salary from the monthly reimbursements you receive from your company. This helps you track reimbursements separately.,accounts
Will I be entitled to the same kind of benefits on this account as my Salary account,The features & benefits on the Reimbursement account are as follows: Click Here for features & benefits on the Reimbursement account.,accounts
What is the time taken to realize outstation cheques,"The indicative time taken for the realization of out-station cheques is given below: Cheques drawn where HDFC Bank has a branch, credit will be given on receipt of clear funds in: Main metro locations (Mumbai, Chennai, Kolkata, New Delhi): 7 working days Metro centers and state capitals (other than those of North Eastern states and Sikkim): Maximum period of 10 working days. In all other centers where we have branches: maximum period of 14 working days. Cheques drawn on non-branch locations where we have a tie-up with correspondent bank, credit will be given on receipt of clear funds: Within a maximum period of 14 working days Cheques drawn on non-branch locations where we do not have a tie-up with correspondent bank, credit will be given on receipt of clear funds: Within a maximum period of 14 working days For more details on the outstation cheque collection policy, click hereFor other queries, Contact Us",accounts
How long will it take to update a change of address,"Your mailing address will be updated within 7 working days once the application, with any supporting documents, is received and found to be in order. The change in address will also be confirmed through system generated mailers sent to the old as well as the new addresses. If you do not receive any update after the stipulated time mentioned above, we request you to Contact Us with the following details in order to enable us to assist you further: The date when you submitted your request The complete Branch address where the request was submitted. Click here to see details of all our bank branches The name of the executive and complete address of the executive’s source branch, if the form is handed over to an executive",accounts
How can I stop a cheque payment,"To make a Stop Payment request on an issued Cheque, kindly follow the steps mentioned below: Log in to your NetBanking account Click on the Stop Payment of Cheque option available under Request menu on the left hand side of the web page Select the Account Number (if more than 1 account) Enter first/Start cheque number to the last/End cheque number, with a reason for stopping the payment. Click on Continue. On the next web page, you can verify and click on Confirm tab to confirm the stop payment request. To make a stop payment request on a single cheque, enter the same number in both the fields provided. Stop payment of cheques through NetBanking is free of charge. You may obtain the cheque series from PhoneBanking and then use NetBanking to stop the cheques. Alternatively, you could use PhoneBanking or the branch to make a Stop Payment request for a cheque. Read more about fees and charges applicable to stop cheques here. These charges attract a Service Tax and an Educational Cess as applicable in terms with the current Finance Bill.",accounts
Can I use this account for regular cheque/ cash deposits & withdrawals,"Yes, you can use it as a regular account for typical banking transactions.",accounts
Can I have multiple Zero Balance Salary Account with your Bank,"NO,One Person can Avail only one Zero Balance Salary Account.",accounts
What is the rate of interest I will earn on the balance in my Savings Account,"Interest on a Savings Account is paid at 4.00% p.a. on a daily end of day balance, w.e.f. May 3, 2011.",accounts
What happens if I don't use my savings account for a very long time,"The account becomes dormant if there are no customer initiated transactions (excludes system generated transactions like credit interest, debit interest), in the account for a continuous period of two years. If the account status is 'Dormant', transactions through Direct Banking Channels like ATM, NetBanking, PhoneBanking are not be allowed by the Bank.",accounts
How do I register for Email Statement/s,"We request you to follow the steps mentioned below to register for an Email Statement of your Account: Step 1) Log in to Net Banking Step 2) On the left hand menu under 'Request’, click on ‘Email Statement Registration’ Step 3) After reading the Terms and Conditions, tick on the text box and then click on ‘Continue’ and then ‘Confirm’ Alternatively, you may submit the attached form to your nearest branch to register for the email statement facility. In case you are unable to visit a branch, we request you to send the form by post or courier. Find your nearest HDFC Bank Branch. Note / Important: Email statements are currently free of charge. Dispatch of the physical statements will discontinue once you register for Email Statement. For Savings Account Customers Only the Primary Account holder will be eligible for the Email Statement facility. In case you are a secondary account holder, you will not receive any Email Statements. For Current Account Holders Only a Sole Current Account holder can avail of this registration facility. For Managed Customers Combined Email Statements for all accounts linked to the Primary Customer ID will be provided across Savings and Current Accounts and Fixed Deposits. For any other queries or to know the status of an existing application, please call up PhoneBanking or write to us mentioning the details given below: HDFC Bank Branch /mode where your request was submitted Date when your request was submitted View more",accounts
How can I change / add the email ID in my account,"We request you to follow the procedure mentioned below to change your email ID:We request you to follow either of procedure mentioned below to change / add your email ID: 1) Request through branch:Step 1) Fill the application form available at the Branch (duly signed by all the holders). Step 2) If you are unable to visit an HDFC Bank Branch, you can send the Form by post or courier. Note / Important: Instructions received through Net Banking, scan copy, fax or email will not be processed for security and authentication purposes. Updates for InstaAlerts (if registered) need to be done separately. InstaAlerts Updates: Please follow the steps mentioned below to update your Email ID online for InstaAlerts (in case you are registered for the InstaAlerts facility): Step 1) Log in to your NetBanking and click on InstaAlerts located at the top right corner of the web page Step 2) Click on Unsubscribe Alerts on the left hand pane of the web page Step 3) Check the Email option and select Continue” and then “Confirm” Step 4) Click on Subscribe for Alerts in the left hand pane of the web page Step 5) Check the Email option and enter your new mobile number, then click on “Continue” and “Confirm” Step 6) Go to Manage Alerts and select the required option 2) Request through Phone Banking:We request you to call up our PhoneBanking to change / add your email address. View more",accounts
How do I update my PAN number,"We request you to follow either of the following procedure mentioned below to update you PAN number: 1) Request through branch: Step 1) Submit a written request specifying your updated PAN number Step 2) Give a self-attested photocopy of your PAN card. (carry originals for verification) 2) Request through Netbanking: We are glad to inform you that the PAN can be updated online from your NetBanking. Please follow the below steps to update your PAN online : Log in to NetBanking with your Customer Identification Number and NetBanking Password (IPIN) Click on 'Contact details' on the top right hand corner & Select Edit Pan number / Click on 'Add/Update PAN number' on the Accounts tabs Update your 10 digit PAN Click on Confirm Note :1. The submitted PAN will be updated within 5 working days, post validation of the PAN with the income tax records. 2. In case of any mismatch of the submitted PAN with Income Tax records, the updation request will be rejected and customer will be intimated. 3. In case of any reject, the customer will need to visit the nearest branch with copy of the PAN card for updation on Bank records. Please note in some cases of difference in name on PAN Card, the customer may be asked to submit additional documents. 4. In the absence of PAN detail on Bank records, the interest earned on Fixed Deposits will be subject to penal TDS at 20% (if applicable) View more",accounts
What is the time taken to realize outstation cheques,"The indicative time taken for the realization of outstation cheques is given below: Cheques drawn where HDFC Bank has a branch, credit will be given on receipt of clear funds in: Main metro locations (Mumbai, Chennai, Kolkata, New Delhi): 7 working days Metro centers and state capitals (other than those of North Eastern states and Sikkim): Maximum period of 10 working days. In all other centres where we have branches: maximum period of 14 working days. Cheques drawn on non-branch locations where we have a tie-up with correspondent banks, credit will be given on receipt of clear funds: Within a maximum period of 14 working days Cheques drawn on non-branch locations where we do not have a tie-up with correspondent banks, credit will be given on receipt of clear funds: Within a maximum period of 14 working days For more details on the outstation cheque collection policy, click here. For other queries, Contact Us. View more",accounts
How can I request for Physical Statement/s,"Statements for the period of 2 years can be downloaded through NetBanking. We request you to follow the steps mentioned below to request for a statement of your Account. Step 1) Log in to Net Banking Steps 2) On the left hand pane under ‘Request’ option select ‘Account Statement’ Step 3) Select the Account number and Period for which the statement is required Step 4) Click on ‘Continue’ and ‘Confirm’ The account statement will be delivered to your address within 4 working day Alternatively you may request for a statement of your account through HDFC Bank PhoneBanking HDFC Bank ATM Any HDFC Bank Branch Charges applicable per duplicate Statement if requested through Branch Rs.100 Phone banking (Non-IVR) & ATM Rs.50 Net banking, Phone banking (IVR), & Mobile banking Rs.30 Email Nil As per the Finance Bill 2009, all fees and charges mentioned above will attract Service Tax @ 10% and Education Cess @ 3% of the service tax amount effective 24th February 2009. If you wish to know more about Account Statements or want to know its status if requested, please call up PhoneBanking or write to us with full details viz. date of request, mode of request and period of request. View more",accounts
Reissuance of ATM/Debit Card PIN,"For reissuance of your ATM / Debit PIN, please choose any of the following modes: A. Through NetBanking - Click on Debit card. Select Pin Regeneration Select the card number. Click on continue Select the Reason for Regeneration Check the mailing address and confirm. Click on ‘Terms and conditions’ and confirm B. Through Branch - Please download Application Form The Application Form should be duly filled and signed by all Account Holder/s Submit the duly filled Application Form at the nearest Branch On receipt of Form and successful verification, the new ATM/Debit Card PIN will be sent to your mailing address To verify your mailing address in our records, please log into NetBanking (Go to “My Contact Details) C. Through PhoneBanking - Validate your Telephone Identification Number (TIN) View more",accounts
How can I change / update the address for my account,"We request you to follow the below steps to update /change your address. You can Personally Visit your nearest Branch or You can send your request through courier, Post or Bearer to the nearest branch : 1) Click here to download the form or Fill the application form available at the Branch 2) The application form needs to be duly filled and signed by the account holder. 3) Please attach a copy of Address proof to the address change request. List of Valid Address proof documents. 4) If you are visiting the Branch, please carry your original documentation for verification. If you are sending the request through post, then please attach a copy of self-attested address proof. Note / Important: Your mailing address will be updated within 7 working days after receipt of complete documentation. Joint account holders need to fill separate request for address change You may view the updated address by logging on to NetBanking under My Contact Details. For any other queries or to know the status of an existing application, please call up PhoneBanking or write to us with the details mentioned below. HDFC Bank Branch where your request was submitted Date when your request was submitted Your complete new address and PIN code View more",accounts
How do I activate a 'Dormant' Savings Account,"We request you to follow the steps mentioned below to activate your account: Step 1) Approach the branch in person. Step 2) Submit a written request for activation of your dormant account, signed as per operating instructions in the account. Step 3) Furnish proof of identity and Address (carry the original for verification) Step 4) Initiate a transaction and your account will be activated once again.",accounts
